sex,age,field,language,education,paranormal,toss.K,toss.RT,grid.K,grid.RT,guess.K,guess.RT,roll.K,roll.RT,spot.K,spot.RT,K,toss,guess,roll,spot,grid,RT
female,41.00547945,humanities,french,4,0,-0.693076878,45.1,-0.265943141,12.7,0.753916272,22.5,0.889305329,11.8,-15.15284495,7.7,-2.893728674,111111,4352432155,2565145663,5555555555,101100101,99.8
male,42.29863014,science,french,7,0,1.060495216,9.1,0.35618483,13.8,1.173177489,17.6,1.867251946,11.2,1.990685277,13.3,1.289558952,11010001011,3254123125,2415331652,5627496315,10001110,65
male,53.70136986,science,french,6,0,0.201293726,6.2,1.773448729,20.6,1.867897086,13.5,0.326972721,11.7,1.516012755,13.8,1.137125003,11101000,4213512454,1112352436,9652981457,11101,65.8
male,53.7890411,other,english,4,4,0.238520252,16.3,0.068744507,54.7,-0.076286186,32.5,-1.620746931,16,-15.15284495,9.2,-3.308522663,1111011101,1513325551,4455663366,4444444444,10101010,128.7
female,49.60821918,science,french,6,0,-0.79783041,9.8,0.723053306,21.4,1.149639428,13,2.355640486,9.8,1.999894425,13.1,1.086079447,1.1011E+11,2314532221,1256432156,1576284539,110111,67.1
female,47.34246575,humanities,french,4,3,-4.415494561,20.4,0.35618483,11,1.293750307,35,0.781469108,21.3,2.244683152,10.6,0.052118567,0,2513242512,6514664216,5623984175,110001010,98.3
male,54.32328767,0,french,3,0,-0.097475919,12.4,0.35618483,26.9,0.892494277,12.4,-7.264060796,6.3,2.143107142,12.3,-0.793950093,1.01111E+11,2322451232,6666665555,8569741235,101010110,70.3
male,38.60273973,other,french,5,0,0.213536737,33.6,0.010229046,35.3,-8.169085689,45.5,1.421660564,26.8,1.645766647,14.2,-0.975578539,101101101,4544444444,1145633521,5623964827,11000111,155.4
male,30.64109589,science,french,6,0,0.685710118,11.6,-0.596190895,14.8,1.90242921,15.2,1.204761889,8.8,1.661633824,11,0.971668829,1001111001,4233115423,1525543621,5417825493,11001110,61.4
male,33.72328767,humanities,french,6,0,-0.21316844,7.9,0.35618483,8.4,0.983636303,18.2,0.723399333,12.3,0.015041093,14.9,0.373018624,1001110101,3243122554,1142135423,5645627836,1101010,61.7
female,38.79452055,science,french,6,0,0.404517268,58.5,0.145914825,8.1,1.264393743,49.8,2.057369245,22.8,-12.36016847,74,-1.697594679,101111111,5531435214,4653162145,8966666666,101001110,213.2
male,10.13424658,0,french,1,0,-4.415494561,8.8,1.336502127,31.5,-9.982032341,8.4,1.747350948,19,-15.15284495,12.1,-5.293303756,0,1111111111,1245163512,5555555555,1011101,79.8
female,38.79452055,science,french,6,0,-0.420979762,6.1,-1.556328377,4.9,0.639641753,8.5,-1.603787618,7.9,-9.699996884,8.4,-2.528290178,1.1111E+11,3523415455,2366665144,1111666666,111100111,35.8
female,52.98356164,science,french,7,0,-1.527003245,22.2,-0.780898258,21.1,1.418027856,23.2,1.78491314,13.8,2.244683152,12.6,0.627944529,1.01001E+11,3321445321,2451365452,5412687935,10010010,92.9
female,24.28493151,other,french,6,5,-1.098170716,28.3,1.773448729,38.3,0.639641753,24.1,1.451310043,17.9,-15.15284495,18.1,-2.477323029,10100110101,3542135421,6313246514,5555555555,11010001,126.7
female,28.60821918,other,french,6,0,0.866643444,37.7,1.821416993,23.3,1.52819509,30.2,0.326972721,45.2,1.514145562,17.8,1.211474762,1001101110,2532134521,5246534134,6548691573,10001101,154.2
female,24.89589041,other,french,5,3,0.588321834,22.2,-0.596190895,6.4,1.925952587,19.1,0.438287202,23.8,2.007577919,8,0.872789729,1001011001,2431253441,5615466232,5436172856,110001011,79.5
